SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
INTELLECT, EQ, 12-Jun-2019, 264.95, 265.00, 266.00, 263.30, 266.00, 265.05, 264.70, 298097, 789.07, 5324, 197789, 66.35
INTENTECH, EQ, 12-Jun-2019, 32.85, 33.00, 33.80, 32.00, 32.40, 32.45, 32.81, 4155, 1.36, 63, 2783, 66.98
INVENTURE, EQ, 12-Jun-2019, 14.70, 14.95, 15.00, 14.75, 14.75, 14.75, 14.99, 1560, 0.23, 6, 1558, 99.87
IOB, EQ, 12-Jun-2019, 11.80, 11.95, 12.00, 11.70, 11.75, 11.75, 11.83, 479140, 56.69, 900, 244690, 51.07
IOC, EQ, 12-Jun-2019, 162.50, 163.00, 163.40, 161.10, 162.50, 162.55, 162.58, 4710283, 7657.91, 31180, 1339497, 28.44
IOLCP, EQ, 12-Jun-2019, 210.15, 211.00, 215.20, 207.10, 208.15, 208.20, 210.61, 297700, 626.97, 3925, 149174, 50.11
IPAPPM, EQ, 12-Jun-2019, 423.20, 425.50, 427.00, 421.60, 423.95, 423.55, 424.95, 118060, 501.69, 1394, 90171, 76.38
IPCALAB, EQ, 12-Jun-2019, 924.70, 924.60, 926.80, 917.00, 920.00, 918.90, 920.20, 55521, 510.90, 6164, 38558, 69.45
IRB, EQ, 12-Jun-2019, 117.75, 117.70, 118.75, 115.40, 116.25, 116.30, 116.81, 1748640, 2042.57, 11937, 223649, 12.79
IRBINVIT, IV, 12-Jun-2019, 65.47, 65.50, 65.74, 65.45, 65.55, 65.65, 65.52, 310000, 203.12, 37, 300000, 96.77
IRCON, EQ, 12-Jun-2019, 397.30, 398.20, 399.75, 385.00, 388.50, 388.15, 390.88, 39836, 155.71, 1279, 30736, 77.16
IREDA, N5, 12-Jun-2019, 1200.00, 1200.01, 1201.05, 1200.01, 1201.05, 1201.05, 1200.53, 300, 3.60, 2, 150, 50.00
